Fecha,Temperatura_Max,Temperatura_Min,Humedad,Precipitación,Velocidad_Viento
2024-01-01,33.6,23.7,63.0,0.0,9.3
2024-01-02,25.2,12.4,79.0,14.9,12.8
2024-01-03,33.3,23.2,31.0,0.0,15.7
2024-01-04,30.9,21.7,41.0,0.0,24.9
2024-01-05,22.9,8.3,77.0,0.0,10.2
2024-01-06,22.2,15.4,45.0,0.0,9.1
2024-01-07,29.8,16.1,86.0,0.0,23.5
2024-01-08,15.4,7.9,55.0,0.0,29.8
2024-01-09,16.1,8.5,52.0,0.0,17.2
2024-01-10,30.0,21.7,65.0,0.0,12.8
2024-01-11,21.3,14.3,80.0,0.0,8.2
2024-01-12,32.2,22.3,61.0,0.0,29.3
2024-01-13,17.5,12.0,86.0,0.0,4.3
2024-01-14,20.1,14.4,59.0,0.0,9.9
2024-01-15,30.4,20.6,68.0,10.2,15.0
2024-01-16,21.5,8.8,83.0,0.0,1.4
2024-01-17,24.5,9.6,83.0,15.6,16.4
2024-01-18,21.2,10.2,63.0,0.0,11.5
2024-01-19,23.7,12.0,47.0,2.3,15.9
2024-01-20,20.8,10.9,38.0,0.0,2.1
2024-01-21,19.3,5.6,32.0,8.1,8.6
2024-01-22,31.2,25.6,39.0,0.0,2.9
2024-01-23,30.5,22.3,68.0,0.0,18.5
2024-01-24,25.7,17.2,68.0,14.2,25.5
2024-01-25,28.6,15.8,38.0,11.6,21.8
2024-01-26,27.4,14.3,66.0,0.0,27.7
2024-01-27,19.5,11.1,66.0,0.0,12.3
2024-01-28,33.0,21.6,43.0,0.0,24.0
2024-01-29,30.4,20.3,58.0,0.0,28.7
2024-01-30,33.2,20.1,60.0,0.0,9.2
2024-01-31,30.6,24.6,35.0,0.0,3.8
2024-02-01,18.5,13.2,79.0,0.0,8.1
2024-02-02,31.4,23.9,69.0,0.0,29.6
2024-02-03,32.6,18.8,47.0,0.0,14.3
2024-02-04,22.5,8.0,71.0,0.0,22.1
2024-02-05,17.1,10.0,69.0,4.7,20.8
2024-02-06,24.7,16.5,64.0,0.0,0.2
2024-02-07,32.3,19.3,45.0,0.0,12.2
2024-02-08,34.2,26.7,88.0,10.7,15.4
2024-02-09,33.8,23.3,90.0,0.0,26.6
2024-02-10,28.3,19.5,72.0,0.0,28.9
2024-02-11,26.7,18.7,30.0,0.0,4.0
2024-02-12,27.9,12.9,55.0,0.0,7.7
2024-02-13,24.7,17.9,47.0,0.0,28.6
2024-02-14,24.5,12.6,75.0,0.0,2.8
2024-02-15,26.6,14.5,66.0,13.8,29.5
2024-02-16,34.1,21.2,69.0,0.0,18.4
2024-02-17,23.0,12.1,85.0,0.0,13.1
2024-02-18,31.1,21.6,86.0,0.0,29.0
2024-02-19,28.6,15.4,80.0,0.0,13.4
2024-02-20,28.0,21.0,63.0,10.2,6.6
2024-02-21,30.7,19.3,41.0,9.6,28.6
2024-02-22,17.6,5.0,44.0,0.0,0.1
2024-02-23,27.8,13.9,32.0,7.9,29.0
2024-02-24,22.4,17.0,62.0,0.0,28.0
2024-02-25,31.5,16.7,58.0,0.0,3.4
2024-02-26,25.0,17.9,71.0,19.7,23.6
2024-02-27,30.5,24.0,68.0,6.6,17.9
2024-02-28,17.6,11.2,40.0,0.0,1.1
2024-02-29,21.1,10.8,86.0,15.3,24.7
2024-03-01,16.2,4.1,74.0,0.0,7.9
2024-03-02,27.0,14.0,48.0,0.0,21.9
2024-03-03,17.1,3.7,74.0,0.0,12.5
2024-03-04,24.7,12.0,30.0,1.3,5.2
2024-03-05,20.2,11.4,77.0,10.3,29.7
2024-03-06,29.2,23.4,58.0,0.0,9.4
