ID_Encuesta,Fecha,Servicio,Puntuación_General,Atención,Rapidez,Precio,Recomendaría
ENC-00001,2024-04-05,Ventas,8,5,5,3,Sí
ENC-00002,2024-05-09,Atención al Cliente,10,5,5,4,Sí
ENC-00003,2024-02-17,Delivery,4,4,2,1,Sí
ENC-00004,2024-05-06,Soporte Técnico,5,2,2,4,No
ENC-00005,2024-02-12,Ventas,2,3,1,1,No
ENC-00006,2024-01-30,Ventas,7,4,2,4,Sí
ENC-00007,2024-04-18,Soporte Técnico,5,3,5,4,No
ENC-00008,2024-05-19,Ventas,5,3,2,3,No
ENC-00009,2024-01-02,Post-Venta,8,4,2,5,Sí
ENC-00010,2024-04-25,Atención al Cliente,4,2,4,3,No
ENC-00011,2024-03-19,Delivery,7,3,3,5,Sí
ENC-00012,2024-04-01,Delivery,6,1,3,4,No
ENC-00013,2024-01-10,Delivery,8,3,4,5,Sí
ENC-00014,2024-02-28,Soporte Técnico,1,1,2,1,Sí
ENC-00015,2024-03-10,Delivery,5,1,3,4,No
ENC-00016,2024-01-22,Post-Venta,4,1,4,1,No
ENC-00017,2024-04-23,Delivery,7,3,3,5,Sí
ENC-00018,2024-05-28,Delivery,6,4,4,3,No
ENC-00019,2024-01-04,Ventas,9,4,5,5,Sí
ENC-00020,2024-01-15,Atención al Cliente,5,3,3,2,No
ENC-00021,2024-06-05,Post-Venta,8,5,4,4,Sí
ENC-00022,2024-02-27,Atención al Cliente,2,1,1,2,No
ENC-00023,2024-04-03,Ventas,7,2,5,2,Sí
ENC-00024,2024-03-23,Soporte Técnico,6,3,3,4,No
ENC-00025,2024-03-22,Atención al Cliente,4,5,2,1,No
ENC-00026,2024-01-13,Post-Venta,4,1,3,2,No
ENC-00027,2024-03-02,Ventas,6,1,5,2,No
ENC-00028,2024-02-12,Delivery,2,1,2,3,Sí
ENC-00029,2024-03-19,Delivery,8,3,5,5,Sí
ENC-00030,2024-02-16,Delivery,5,4,4,2,No
ENC-00031,2024-06-16,Post-Venta,5,3,1,4,No
ENC-00032,2024-03-24,Ventas,4,1,2,4,No
ENC-00033,2024-02-14,Delivery,6,1,5,1,No
ENC-00034,2024-04-25,Atención al Cliente,6,3,3,2,Sí
ENC-00035,2024-06-10,Post-Venta,10,3,5,5,Sí
ENC-00036,2024-06-21,Post-Venta,4,2,5,1,No
ENC-00037,2024-06-10,Soporte Técnico,4,5,2,1,No
ENC-00038,2024-03-26,Soporte Técnico,10,4,5,5,Sí
ENC-00039,2024-02-14,Ventas,6,1,5,5,No
ENC-00040,2024-06-10,Ventas,9,5,4,4,Sí
ENC-00041,2024-01-03,Soporte Técnico,7,5,4,2,Sí
ENC-00042,2024-04-17,Delivery,5,3,3,2,Sí
ENC-00043,2024-03-20,Post-Venta,4,1,1,2,No
ENC-00044,2024-01-29,Post-Venta,6,1,5,4,No
