Producto,Cantidad,Precio,Venta_Total,Promedio
Mouse,3,1787.18,5361.54,2680.77
Mouse,1,1341.68,1341.68,670.84
Mouse,5,1126.11,5630.549999999999,2815.2749999999996
Teclado,8,1698.5,13588.0,6794.0
Impresora,8,1265.81,10126.48,5063.24
Mouse,6,653.55,3921.2999999999997,1960.6499999999999
Teclado,7,1828.25,12797.75,6398.875
Teclado,4,1233.33,4933.32,2466.66
Teclado,3,1794.98,5384.9400000000005,2692.4700000000003
Mouse,8,1380.21,11041.68,5520.84
Teclado,6,342.35,2054.1000000000004,1027.0500000000002
Impresora,6,1548.69,9292.14,4646.07
Mouse,7,1935.58,13549.06,6774.53
Laptop,4,267.73,1070.92,535.46
Impresora,7,1286.86,9008.019999999999,4504.009999999999
Impresora,1,923.85,923.85,461.925
Laptop,8,374.77,2998.16,1499.08
Teclado,5,1808.31,9041.55,4520.775
Impresora,2,844.96,1689.92,844.96
Mouse,2,648.53,1297.06,648.53
