Producto,Cantidad,Precio,Total,Venta_Total,Promedio
Laptop,4,1035.94,4143.76,16575.04,3315.0080000000003
Mouse,8,939.42,7515.36,60122.88,12024.576
Laptop,2,1616.22,3232.44,6464.88,1292.976
Teclado,8,983.46,7867.68,62941.44,12588.288
Teclado,7,405.38,2837.66,19863.62,3972.7239999999997
Monitor,9,512.01,4608.09,41472.81,8294.562
Monitor,1,1609.59,1609.59,1609.59,321.918
Teclado,5,1676.77,8383.85,41919.25,8383.85
Laptop,1,463.78,463.78,463.78,92.756
Teclado,5,1311.48,6557.4,32787.0,6557.4
Impresora,6,1684.16,10104.960000000001,60629.76000000001,12125.952000000001
Monitor,5,1567.37,7836.849999999999,39184.25,7836.85
Mouse,4,1548.05,6192.2,24768.8,4953.76
Laptop,1,1841.38,1841.38,1841.38,368.276
Teclado,8,547.93,4383.44,35067.52,7013.503999999999
Impresora,5,249.34,1246.7,6233.5,1246.7
Mouse,6,735.7,4414.200000000001,26485.200000000004,5297.040000000001
Teclado,2,1050.08,2100.16,4200.32,840.064
Mouse,7,1414.4,9900.800000000001,69305.6,13861.12
Monitor,1,734.62,734.62,734.62,146.924
