Fecha,Categoría,Descripción,Monto,Método_Pago
2024-01-01,Transporte,Transporte público,1580.34,Efectivo
2024-01-01,Entretenimiento,Cine,354.28,Transferencia
2024-01-01,Otros,Ropa,99.0,Transferencia
2024-01-03,Entretenimiento,Cine,398.25,Tarjeta
2024-01-05,Otros,Varios,798.5,Tarjeta
2024-01-05,Transporte,Transporte público,559.36,Tarjeta
2024-01-05,Transporte,Gasolina,924.99,Transferencia
2024-01-06,Vivienda,Internet,1551.51,Efectivo
2024-01-07,Alimentación,Comida rápida,643.57,Tarjeta
2024-01-07,Salud,Doctor,1368.4,Efectivo
2024-01-08,Alimentación,Supermercado,1951.56,Efectivo
2024-01-08,Alimentación,Supermercado,1390.19,Tarjeta
2024-01-11,Otros,Regalos,1204.68,Tarjeta
2024-01-11,Otros,Varios,191.62,Transferencia
2024-01-12,Transporte,Transporte público,1052.47,Transferencia
2024-01-13,Vivienda,Renta,1961.82,Efectivo
2024-01-13,Transporte,Uber,321.43,Transferencia
2024-01-14,Salud,Doctor,1750.56,Efectivo
2024-01-14,Otros,Regalos,1254.77,Efectivo
2024-01-14,Alimentación,Comida rápida,359.68,Tarjeta
2024-01-15,Otros,Varios,1729.2,Tarjeta
2024-01-16,Salud,Farmacia,1726.73,Transferencia
2024-01-17,Salud,Farmacia,432.5,Transferencia
2024-01-18,Otros,Varios,1327.14,Transferencia
2024-01-18,Entretenimiento,Concierto,782.29,Efectivo
2024-01-18,Entretenimiento,Streaming,467.92,Efectivo
2024-01-19,Vivienda,Servicios,1389.68,Efectivo
2024-01-19,Entretenimiento,Concierto,881.06,Tarjeta
2024-01-19,Vivienda,Renta,518.94,Transferencia
2024-01-20,Otros,Ropa,1476.33,Tarjeta
2024-01-20,Transporte,Transporte público,1418.44,Efectivo
2024-01-21,Otros,Regalos,1270.55,Efectivo
2024-01-24,Vivienda,Internet,1100.69,Transferencia
2024-01-25,Otros,Ropa,237.35,Transferencia
2024-01-25,Salud,Gimnasio,649.72,Tarjeta
2024-01-26,Salud,Farmacia,1845.14,Transferencia
2024-01-27,Alimentación,Supermercado,375.09,Efectivo
2024-02-01,Salud,Gimnasio,1660.49,Transferencia
2024-02-04,Vivienda,Servicios,1901.3,Transferencia
2024-02-07,Vivienda,Internet,788.31,Tarjeta
2024-02-07,Vivienda,Renta,687.48,Efectivo
2024-02-09,Alimentación,Restaurante,554.46,Tarjeta
2024-02-09,Otros,Regalos,607.53,Transferencia
2024-02-10,Otros,Varios,165.11,Transferencia
2024-02-11,Otros,Varios,1254.77,Efectivo
2024-02-11,Entretenimiento,Concierto,217.29,Efectivo
2024-02-12,Entretenimiento,Cine,1479.93,Tarjeta
2024-02-12,Salud,Farmacia,1187.98,Efectivo
2024-02-12,Entretenimiento,Cine,778.98,Transferencia
2024-02-13,Entretenimiento,Streaming,90.99,Transferencia
2024-02-14,Vivienda,Internet,1204.11,Efectivo
2024-02-15,Transporte,Uber,1575.12,Efectivo
2024-02-16,Alimentación,Restaurante,349.21,Transferencia
2024-02-17,Otros,Varios,171.64,Transferencia
2024-02-19,Entretenimiento,Concierto,1608.1,Tarjeta
2024-02-21,Salud,Gimnasio,1052.98,Tarjeta
2024-02-24,Vivienda,Renta,1140.32,Tarjeta
2024-02-26,Alimentación,Comida rápida,1333.11,Transferencia
2024-02-26,Transporte,Gasolina,1547.44,Tarjeta
2024-02-27,Alimentación,Supermercado,1445.84,Transferencia
2024-02-27,Salud,Doctor,1695.04,Efectivo
2024-02-28,Salud,Doctor,326.3,Efectivo
2024-02-28,Entretenimiento,Concierto,507.5,Transferencia
2024-03-02,Salud,Gimnasio,1652.97,Transferencia
2024-03-02,Entretenimiento,Concierto,1441.28,Tarjeta
2024-03-02,Alimentación,Supermercado,1926.38,Efectivo
2024-03-04,Otros,Ropa,1921.71,Transferencia
2024-03-05,Entretenimiento,Streaming,929.05,Transferencia
2024-03-05,Salud,Gimnasio,981.22,Tarjeta
2024-03-06,Otros,Regalos,1484.18,Efectivo
2024-03-06,Vivienda,Renta,1360.83,Efectivo
