Código,Producto,Categoría,Stock,Precio,Proveedor
PROD0001,Producto 1,Juguetes,9,418.58,Proveedor C
PROD0002,Producto 2,Electrónica,2,69.88,Proveedor C
PROD0003,Producto 3,Juguetes,49,493.42,Proveedor A
PROD0004,Producto 4,Hogar,6,404.59,Proveedor A
PROD0005,Producto 5,Electrónica,10,435.54,Proveedor B
PROD0006,Producto 6,Juguetes,43,128.35,Proveedor C
PROD0007,Producto 7,Hogar,16,376.8,Proveedor A
PROD0008,Producto 8,Oficina,94,140.66,Proveedor B
PROD0009,Producto 9,Hogar,6,395.14,Proveedor B
PROD0010,Producto 10,Juguetes,31,172.39,Proveedor B
PROD0011,Producto 11,Oficina,96,298.68,Proveedor C
PROD0012,Producto 12,Deportes,83,53.65,Proveedor B
PROD0013,Producto 13,Hogar,93,463.94,Proveedor A
PROD0014,Producto 14,Deportes,15,120.67,Proveedor B
PROD0015,Producto 15,Deportes,60,277.32,Proveedor A
PROD0016,Producto 16,Deportes,90,184.68,Proveedor C
PROD0017,Producto 17,Oficina,15,418.7,Proveedor C
PROD0018,Producto 18,Oficina,94,279.37,Proveedor C
PROD0019,Producto 19,Oficina,25,259.01,Proveedor A
PROD0020,Producto 20,Electrónica,3,130.49,Proveedor C
PROD0021,Producto 21,Deportes,94,478.98,Proveedor B
PROD0022,Producto 22,Electrónica,33,398.86,Proveedor B
PROD0023,Producto 23,Electrónica,82,440.43,Proveedor A
PROD0024,Producto 24,Hogar,90,436.53,Proveedor B
PROD0025,Producto 25,Juguetes,5,449.54,Proveedor B
PROD0026,Producto 26,Deportes,83,180.0,Proveedor A
PROD0027,Producto 27,Electrónica,85,43.01,Proveedor C
PROD0028,Producto 28,Oficina,49,466.72,Proveedor A
PROD0029,Producto 29,Oficina,12,185.39,Proveedor C
PROD0030,Producto 30,Oficina,83,79.71,Proveedor C
PROD0031,Producto 31,Hogar,81,279.01,Proveedor A
PROD0032,Producto 32,Juguetes,33,186.49,Proveedor C
PROD0033,Producto 33,Electrónica,57,256.03,Proveedor B
