Código,Producto,Stock,Cantidad Sugerida
PROD0001,Producto 1,9,41
PROD0002,Producto 2,2,48
PROD0003,Producto 3,49,1
PROD0004,Producto 4,6,44
PROD0005,Producto 5,10,40
PROD0006,Producto 6,43,7
PROD0007,Producto 7,16,34
PROD0009,Producto 9,6,44
PROD0010,Producto 10,31,19
PROD0014,Producto 14,15,35
PROD0017,Producto 17,15,35
PROD0019,Producto 19,25,25
PROD0020,Producto 20,3,47
PROD0022,Producto 22,33,17
PROD0025,Producto 25,5,45
PROD0028,Producto 28,49,1
PROD0029,Producto 29,12,38
PROD0032,Producto 32,33,17
PROD0034,Producto 34,48,2
PROD0040,Producto 40,30,20
PROD0042,Producto 42,45,5
PROD0045,Producto 45,25,25
PROD0046,Producto 46,49,1
PROD0047,Producto 47,3,47
PROD0049,Producto 49,4,46
PROD0053,Producto 53,38,12
PROD0054,Producto 54,47,3
PROD0059,Producto 59,2,48
PROD0060,Producto 60,30,20
PROD0061,Producto 61,25,25
PROD0062,Producto 62,34,16
PROD0064,Producto 64,8,42
PROD0065,Producto 65,21,29
PROD0069,Producto 69,11,39
PROD0070,Producto 70,8,42
PROD0071,Producto 71,25,25
PROD0073,Producto 73,29,21
PROD0075,Producto 75,17,33
PROD0076,Producto 76,7,43
PROD0078,Producto 78,49,1
PROD0080,Producto 80,8,42
PROD0083,Producto 83,29,21
PROD0084,Producto 84,1,49
PROD0085,Producto 85,47,3
PROD0087,Producto 87,0,50
PROD0088,Producto 88,3,47
PROD0091,Producto 91,47,3
PROD0093,Producto 93,39,11
PROD0094,Producto 94,30,20
PROD0095,Producto 95,36,14
PROD0098,Producto 98,2,48
PROD0099,Producto 99,49,1
PROD0101,Producto 101,4,46
PROD0102,Producto 102,39,11
PROD0104,Producto 104,47,3
PROD0106,Producto 106,22,28
PROD0108,Producto 108,36,14
PROD0110,Producto 110,15,35
PROD0111,Producto 111,2,48
PROD0112,Producto 112,11,39
PROD0113,Producto 113,36,14
PROD0115,Producto 115,36,14
PROD0116,Producto 116,24,26
PROD0122,Producto 122,34,16
PROD0124,Producto 124,25,25
PROD0125,Producto 125,48,2
PROD0129,Producto 129,25,25
PROD0130,Producto 130,9,41
PROD0136,Producto 136,26,24
PROD0137,Producto 137,48,2
PROD0140,Producto 140,8,42
PROD0141,Producto 141,38,12
PROD0142,Producto 142,34,16
PROD0145,Producto 145,12,38
PROD0146,Producto 146,9,41
PROD0150,Producto 150,44,6
