Fecha,Turno,Línea,Unidades_Producidas,Unidades_Defectuosas,Tiempo_Paro,Operador
2024-01-01,Mañana,L1,989,40,23,OP12
2024-01-01,Mañana,L2,821,54,25,OP09
2024-01-01,Mañana,L3,946,24,48,OP07
2024-01-01,Mañana,L4,1081,65,27,OP04
2024-01-01,Tarde,L1,810,12,0,OP08
2024-01-01,Tarde,L2,1149,25,54,OP10
2024-01-01,Tarde,L3,1087,68,35,OP02
2024-01-01,Tarde,L4,911,24,31,OP09
2024-01-01,Noche,L1,906,54,16,OP09
2024-01-01,Noche,L2,1193,78,39,OP04
2024-01-01,Noche,L3,818,23,29,OP08
2024-01-01,Noche,L4,1148,68,29,OP08
2024-01-02,Mañana,L1,1175,82,46,OP10
2024-01-02,Mañana,L2,1047,78,38,OP03
2024-01-02,Mañana,L3,1044,10,34,OP10
2024-01-02,Mañana,L4,1198,58,5,OP12
2024-01-02,Tarde,L1,1051,19,53,OP06
2024-01-02,Tarde,L2,1088,22,27,OP09
2024-01-02,Tarde,L3,1014,68,52,OP05
2024-01-02,Tarde,L4,973,44,29,OP11
2024-01-02,Noche,L1,811,45,5,OP03
2024-01-02,Noche,L2,888,59,17,OP06
2024-01-02,Noche,L3,842,51,32,OP10
2024-01-02,Noche,L4,1180,58,49,OP10
2024-01-03,Mañana,L1,962,26,37,OP06
2024-01-03,Mañana,L2,1137,69,59,OP05
2024-01-03,Mañana,L3,1159,57,16,OP12
2024-01-03,Mañana,L4,985,44,53,OP08
2024-01-03,Tarde,L1,981,38,25,OP02
2024-01-03,Tarde,L2,908,19,7,OP08
2024-01-03,Tarde,L3,873,48,14,OP01
2024-01-03,Tarde,L4,991,37,4,OP11
2024-01-03,Noche,L1,827,40,30,OP02
2024-01-03,Noche,L2,1132,79,21,OP06
2024-01-03,Noche,L3,1156,44,31,OP07
2024-01-03,Noche,L4,1061,64,30,OP05
2024-01-04,Mañana,L1,1078,62,45,OP05
2024-01-04,Mañana,L2,1017,67,51,OP07
2024-01-04,Mañana,L3,874,42,6,OP11
2024-01-04,Mañana,L4,924,29,33,OP05
2024-01-04,Tarde,L1,1016,10,33,OP04
2024-01-04,Tarde,L2,1115,31,22,OP12
2024-01-04,Tarde,L3,1148,55,49,OP11
2024-01-04,Tarde,L4,1083,61,51,OP07
2024-01-04,Noche,L1,938,27,26,OP03
2024-01-04,Noche,L2,807,51,59,OP01
2024-01-04,Noche,L3,825,43,24,OP11
2024-01-04,Noche,L4,1175,78,6,OP04
2024-01-05,Mañana,L1,1142,57,23,OP02
2024-01-05,Mañana,L2,836,46,26,OP01
2024-01-05,Mañana,L3,845,57,6,OP01
2024-01-05,Mañana,L4,969,61,57,OP09
2024-01-05,Tarde,L1,826,41,53,OP12
2024-01-05,Tarde,L2,1090,40,11,OP04
2024-01-05,Tarde,L3,1088,26,7,OP03
2024-01-05,Tarde,L4,1150,44,17,OP06
2024-01-05,Noche,L1,973,32,34,OP07
2024-01-05,Noche,L2,816,26,29,OP01
2024-01-05,Noche,L3,1110,83,23,OP12
2024-01-05,Noche,L4,1183,36,6,OP12
2024-01-06,Mañana,L1,1181,72,42,OP06
2024-01-06,Mañana,L2,995,16,43,OP04
2024-01-06,Mañana,L3,834,30,12,OP04
2024-01-06,Mañana,L4,1188,69,36,OP04
2024-01-06,Tarde,L1,862,63,37,OP02
2024-01-06,Tarde,L2,952,28,23,OP02
2024-01-06,Tarde,L3,1067,32,58,OP11
2024-01-06,Tarde,L4,1044,36,38,OP06
2024-01-06,Noche,L1,1076,68,53,OP10
2024-01-06,Noche,L2,803,9,35,OP12
2024-01-06,Noche,L3,1025,58,25,OP09
2024-01-06,Noche,L4,991,51,34,OP03
2024-01-07,Mañana,L1,1088,75,35,OP03
2024-01-07,Mañana,L2,803,46,56,OP07
2024-01-07,Mañana,L3,1083,85,31,OP11
2024-01-07,Mañana,L4,1077,20,19,OP06
2024-01-07,Tarde,L1,807,48,44,OP05
2024-01-07,Tarde,L2,945,29,23,OP10
2024-01-07,Tarde,L3,1189,21,0,OP08
2024-01-07,Tarde,L4,1111,26,14,OP12
2024-01-07,Noche,L1,1162,43,41,OP02
2024-01-07,Noche,L2,947,61,16,OP03
2024-01-07,Noche,L3,936,64,0,OP01
2024-01-07,Noche,L4,891,39,27,OP01
2024-01-08,Mañana,L1,930,30,9,OP03
2024-01-08,Mañana,L2,952,21,50,OP03
2024-01-08,Mañana,L3,1146,22,31,OP04
2024-01-08,Mañana,L4,805,46,22,OP12
2024-01-08,Tarde,L1,1020,51,13,OP03
2024-01-08,Tarde,L2,894,13,42,OP07
2024-01-08,Tarde,L3,926,12,34,OP11
2024-01-08,Tarde,L4,946,51,52,OP10
2024-01-08,Noche,L1,1082,28,34,OP02
2024-01-08,Noche,L2,1078,11,21,OP11
2024-01-08,Noche,L3,855,59,48,OP08
2024-01-08,Noche,L4,1095,82,50,OP10
2024-01-09,Mañana,L1,1034,37,46,OP08
2024-01-09,Mañana,L2,964,45,5,OP04
2024-01-09,Mañana,L3,1154,52,16,OP10
2024-01-09,Mañana,L4,977,57,4,OP11
2024-01-09,Tarde,L1,853,22,35,OP03
2024-01-09,Tarde,L2,989,59,34,OP04
2024-01-09,Tarde,L3,1165,70,14,OP12
2024-01-09,Tarde,L4,1112,86,8,OP09
2024-01-09,Noche,L1,1042,18,35,OP04
2024-01-09,Noche,L2,1179,59,21,OP02
2024-01-09,Noche,L3,803,20,8,OP08
2024-01-09,Noche,L4,989,70,57,OP11
2024-01-10,Mañana,L1,1070,43,40,OP06
2024-01-10,Mañana,L2,898,69,39,OP07
2024-01-10,Mañana,L3,1049,32,23,OP06
2024-01-10,Mañana,L4,1014,10,51,OP04
2024-01-10,Tarde,L1,976,37,38,OP08
2024-01-10,Tarde,L2,1103,86,21,OP11
2024-01-10,Tarde,L3,832,40,23,OP01
2024-01-10,Tarde,L4,803,41,28,OP09
2024-01-10,Noche,L1,886,18,3,OP03
2024-01-10,Noche,L2,861,35,44,OP07
2024-01-10,Noche,L3,1057,14,16,OP05
2024-01-10,Noche,L4,1134,67,36,OP06
2024-01-11,Mañana,L1,1092,30,58,OP02
2024-01-11,Mañana,L2,896,31,51,OP08
2024-01-11,Mañana,L3,1121,61,34,OP05
2024-01-11,Mañana,L4,949,64,21,OP07
2024-01-11,Tarde,L1,1087,46,49,OP05
2024-01-11,Tarde,L2,960,15,46,OP06
2024-01-11,Tarde,L3,887,50,41,OP06
2024-01-11,Tarde,L4,822,35,10,OP09
2024-01-11,Noche,L1,881,52,15,OP11
2024-01-11,Noche,L2,808,50,4,OP01
2024-01-11,Noche,L3,942,74,3,OP01
2024-01-11,Noche,L4,1105,66,54,OP09
2024-01-12,Mañana,L1,1117,62,44,OP05
2024-01-12,Mañana,L2,992,56,18,OP05
2024-01-12,Mañana,L3,982,51,3,OP05
2024-01-12,Mañana,L4,934,54,12,OP08
2024-01-12,Tarde,L1,855,17,31,OP03
2024-01-12,Tarde,L2,934,32,55,OP08
2024-01-12,Tarde,L3,935,48,51,OP08
2024-01-12,Tarde,L4,1079,40,47,OP06
2024-01-12,Noche,L1,1110,76,14,OP11
2024-01-12,Noche,L2,1047,62,45,OP07
2024-01-12,Noche,L3,939,17,0,OP03
2024-01-12,Noche,L4,1180,59,8,OP05
2024-01-13,Mañana,L1,1059,67,38,OP12
2024-01-13,Mañana,L2,908,28,25,OP03
2024-01-13,Mañana,L3,913,20,31,OP10
2024-01-13,Mañana,L4,859,34,8,OP03
2024-01-13,Tarde,L1,1129,18,34,OP04
2024-01-13,Tarde,L2,1008,13,17,OP10
2024-01-13,Tarde,L3,906,37,15,OP09
2024-01-13,Tarde,L4,950,24,51,OP01
2024-01-13,Noche,L1,1038,40,54,OP08
2024-01-13,Noche,L2,900,23,22,OP09
2024-01-13,Noche,L3,934,68,42,OP06
2024-01-13,Noche,L4,1074,69,33,OP08
2024-01-14,Mañana,L1,912,63,31,OP09
2024-01-14,Mañana,L2,1140,39,15,OP09
2024-01-14,Mañana,L3,889,26,30,OP06
2024-01-14,Mañana,L4,1030,37,52,OP03
2024-01-14,Tarde,L1,1136,20,17,OP07
2024-01-14,Tarde,L2,890,34,50,OP09
2024-01-14,Tarde,L3,1152,12,56,OP02
2024-01-14,Tarde,L4,927,54,42,OP03
2024-01-14,Noche,L1,1052,40,56,OP12
2024-01-14,Noche,L2,1192,45,7,OP03
2024-01-14,Noche,L3,1016,33,40,OP12
2024-01-14,Noche,L4,1034,54,31,OP12
2024-01-15,Mañana,L1,1132,22,43,OP09
2024-01-15,Mañana,L2,805,11,50,OP07
2024-01-15,Mañana,L3,918,33,44,OP12
2024-01-15,Mañana,L4,1069,77,23,OP06
2024-01-15,Tarde,L1,955,14,46,OP03
2024-01-15,Tarde,L2,990,46,47,OP09
2024-01-15,Tarde,L3,872,35,29,OP11
2024-01-15,Tarde,L4,1192,45,23,OP08
2024-01-15,Noche,L1,1000,35,50,OP05
2024-01-15,Noche,L2,1092,69,47,OP06
2024-01-15,Noche,L3,1167,61,6,OP07
2024-01-15,Noche,L4,1129,56,20,OP02
2024-01-16,Mañana,L1,1011,80,40,OP06
2024-01-16,Mañana,L2,856,66,0,OP03
2024-01-16,Mañana,L3,804,41,30,OP04
2024-01-16,Mañana,L4,1114,60,18,OP12
2024-01-16,Tarde,L1,1117,52,43,OP06
2024-01-16,Tarde,L2,875,68,29,OP08
2024-01-16,Tarde,L3,1147,20,25,OP08
2024-01-16,Tarde,L4,892,16,40,OP09
2024-01-16,Noche,L1,976,21,15,OP11
2024-01-16,Noche,L2,1167,23,28,OP12
2024-01-16,Noche,L3,938,43,4,OP12
2024-01-16,Noche,L4,951,32,0,OP04
2024-01-17,Mañana,L1,901,30,46,OP06
2024-01-17,Mañana,L2,912,58,54,OP12
2024-01-17,Mañana,L3,1023,75,6,OP07
2024-01-17,Mañana,L4,1130,65,48,OP06
2024-01-17,Tarde,L1,941,31,44,OP06
2024-01-17,Tarde,L2,1184,40,40,OP08
2024-01-17,Tarde,L3,869,38,56,OP01
2024-01-17,Tarde,L4,1183,12,16,OP11
2024-01-17,Noche,L1,982,77,52,OP06
2024-01-17,Noche,L2,860,48,53,OP08
2024-01-17,Noche,L3,988,39,14,OP11
2024-01-17,Noche,L4,1100,43,48,OP12
2024-01-18,Mañana,L1,929,37,57,OP11
2024-01-18,Mañana,L2,999,12,51,OP05
2024-01-18,Mañana,L3,1042,27,9,OP07
2024-01-18,Mañana,L4,1143,21,42,OP03
2024-01-18,Tarde,L1,1034,67,52,OP11
2024-01-18,Tarde,L2,1026,27,47,OP06
2024-01-18,Tarde,L3,1171,78,15,OP01
2024-01-18,Tarde,L4,1167,50,18,OP11
2024-01-18,Noche,L1,895,37,57,OP04
2024-01-18,Noche,L2,1173,27,36,OP01
2024-01-18,Noche,L3,1012,52,40,OP08
2024-01-18,Noche,L4,1038,12,39,OP07
2024-01-19,Mañana,L1,1166,76,11,OP01
2024-01-19,Mañana,L2,884,62,24,OP02
2024-01-19,Mañana,L3,1119,26,43,OP04
2024-01-19,Mañana,L4,1132,58,11,OP06
2024-01-19,Tarde,L1,1175,24,51,OP09
2024-01-19,Tarde,L2,1045,69,47,OP10
2024-01-19,Tarde,L3,1179,26,10,OP11
2024-01-19,Tarde,L4,1091,73,55,OP02
2024-01-19,Noche,L1,1134,25,16,OP07
2024-01-19,Noche,L2,1101,67,38,OP04
2024-01-19,Noche,L3,947,25,41,OP05
2024-01-19,Noche,L4,935,40,45,OP12
2024-01-20,Mañana,L1,1188,87,19,OP09
2024-01-20,Mañana,L2,1062,29,56,OP10
2024-01-20,Mañana,L3,1066,32,46,OP07
2024-01-20,Mañana,L4,1072,79,39,OP12
2024-01-20,Tarde,L1,1117,63,22,OP06
2024-01-20,Tarde,L2,1077,75,10,OP01
2024-01-20,Tarde,L3,839,23,56,OP11
2024-01-20,Tarde,L4,995,17,53,OP02
2024-01-20,Noche,L1,1009,80,21,OP04
2024-01-20,Noche,L2,1141,45,44,OP01
2024-01-20,Noche,L3,864,63,1,OP12
2024-01-20,Noche,L4,1048,30,13,OP12
2024-01-21,Mañana,L1,1094,47,21,OP08
2024-01-21,Mañana,L2,979,19,16,OP05
2024-01-21,Mañana,L3,1121,26,1,OP05
2024-01-21,Mañana,L4,931,11,43,OP02
2024-01-21,Tarde,L1,843,23,31,OP05
2024-01-21,Tarde,L2,980,76,3,OP05
2024-01-21,Tarde,L3,1141,29,58,OP10
2024-01-21,Tarde,L4,888,45,29,OP04
2024-01-21,Noche,L1,1133,85,0,OP11
2024-01-21,Noche,L2,944,40,10,OP07
2024-01-21,Noche,L3,1053,36,56,OP11
2024-01-21,Noche,L4,843,23,19,OP12
2024-01-22,Mañana,L1,1052,57,33,OP03
2024-01-22,Mañana,L2,957,70,3,OP12
2024-01-22,Mañana,L3,930,13,42,OP01
2024-01-22,Mañana,L4,841,40,53,OP02
2024-01-22,Tarde,L1,1030,58,36,OP11
2024-01-22,Tarde,L2,1110,70,52,OP08
2024-01-22,Tarde,L3,1036,56,36,OP06
2024-01-22,Tarde,L4,975,60,19,OP12
2024-01-22,Noche,L1,1036,52,11,OP03
2024-01-22,Noche,L2,896,51,10,OP05
2024-01-22,Noche,L3,1148,40,33,OP01
2024-01-22,Noche,L4,810,49,39,OP01
2024-01-23,Mañana,L1,1132,84,20,OP09
2024-01-23,Mañana,L2,916,70,45,OP12
2024-01-23,Mañana,L3,1128,34,45,OP11
2024-01-23,Mañana,L4,888,32,0,OP07
2024-01-23,Tarde,L1,899,40,43,OP08
2024-01-23,Tarde,L2,938,43,19,OP05
2024-01-23,Tarde,L3,985,74,7,OP01
2024-01-23,Tarde,L4,1049,37,44,OP05
2024-01-23,Noche,L1,847,9,17,OP11
2024-01-23,Noche,L2,953,20,39,OP10
2024-01-23,Noche,L3,1156,56,28,OP06
2024-01-23,Noche,L4,1072,54,22,OP11
2024-01-24,Mañana,L1,1166,16,18,OP08
2024-01-24,Mañana,L2,810,59,13,OP03
2024-01-24,Mañana,L3,1138,69,24,OP09
2024-01-24,Mañana,L4,1003,64,49,OP07
2024-01-24,Tarde,L1,921,39,8,OP06
2024-01-24,Tarde,L2,1020,49,32,OP12
2024-01-24,Tarde,L3,940,23,1,OP07
2024-01-24,Tarde,L4,1190,75,48,OP01
2024-01-24,Noche,L1,981,37,37,OP08
2024-01-24,Noche,L2,1197,16,50,OP06
2024-01-24,Noche,L3,1183,35,6,OP08
2024-01-24,Noche,L4,1156,30,32,OP09
2024-01-25,Mañana,L1,1097,75,38,OP08
2024-01-25,Mañana,L2,1064,58,53,OP05
2024-01-25,Mañana,L3,1030,34,15,OP10
2024-01-25,Mañana,L4,990,63,19,OP04
2024-01-25,Tarde,L1,1152,72,4,OP06
2024-01-25,Tarde,L2,963,45,13,OP01
2024-01-25,Tarde,L3,1096,44,47,OP02
2024-01-25,Tarde,L4,1018,66,16,OP02
2024-01-25,Noche,L1,976,38,39,OP03
2024-01-25,Noche,L2,1008,49,41,OP11
2024-01-25,Noche,L3,974,32,5,OP09
2024-01-25,Noche,L4,830,20,43,OP01
2024-01-26,Mañana,L1,1188,93,50,OP01
2024-01-26,Mañana,L2,989,70,33,OP12
2024-01-26,Mañana,L3,1019,30,39,OP07
2024-01-26,Mañana,L4,835,42,51,OP03
2024-01-26,Tarde,L1,981,62,13,OP09
2024-01-26,Tarde,L2,883,20,15,OP07
2024-01-26,Tarde,L3,1048,21,27,OP02
2024-01-26,Tarde,L4,1096,39,42,OP03
2024-01-26,Noche,L1,869,35,14,OP08
2024-01-26,Noche,L2,1190,83,7,OP05
2024-01-26,Noche,L3,1081,84,36,OP11
2024-01-26,Noche,L4,1155,25,6,OP11
2024-01-27,Mañana,L1,1091,63,3,OP07
2024-01-27,Mañana,L2,930,67,43,OP09
2024-01-27,Mañana,L3,918,32,13,OP08
2024-01-27,Mañana,L4,870,52,36,OP02
2024-01-27,Tarde,L1,905,47,58,OP02
2024-01-27,Tarde,L2,911,17,36,OP03
2024-01-27,Tarde,L3,1175,81,35,OP11
2024-01-27,Tarde,L4,960,40,55,OP08
2024-01-27,Noche,L1,1098,63,14,OP06
2024-01-27,Noche,L2,876,13,4,OP04
2024-01-27,Noche,L3,861,26,18,OP10
2024-01-27,Noche,L4,889,45,41,OP11
2024-01-28,Mañana,L1,1110,35,25,OP07
2024-01-28,Mañana,L2,902,22,9,OP03
2024-01-28,Mañana,L3,831,24,52,OP08
2024-01-28,Mañana,L4,921,40,48,OP11
2024-01-28,Tarde,L1,1098,53,11,OP10
