ID_Tarea,Fecha,Proyecto,Tarea,Asignado_A,Estado,Prioridad,Horas_Estimadas,Horas_Reales
TASK-0001,2024-01-28,App Móvil,Documentación - Tarea 1,Dev2,Por Hacer,Media,12,14
TASK-0002,2024-01-31,App Móvil,Desarrollo - Tarea 2,Dev3,En Revisión,Alta,29,28
TASK-0003,2024-03-24,Sistema CRM,Diseño - Tarea 3,Dev4,Completada,Alta,28,28
TASK-0004,2024-03-15,App Móvil,Bug Fix - Tarea 4,Dev1,En Revisión,Baja,38,37
TASK-0005,2024-03-14,Dashboard Analytics,Documentación - Tarea 5,Dev2,En Progreso,Crítica,35,40
TASK-0006,2024-01-04,Dashboard Analytics,Testing - Tarea 6,Dev3,En Progreso,Baja,17,20
TASK-0007,2024-02-24,Sistema CRM,Testing - Tarea 7,Dev2,Completada,Media,24,19
TASK-0008,2024-01-02,Sistema CRM,Documentación - Tarea 8,Dev5,Completada,Media,5,5
TASK-0009,2024-02-21,Dashboard Analytics,Bug Fix - Tarea 9,Dev1,En Revisión,Media,8,8
TASK-0010,2024-02-23,App Móvil,Documentación - Tarea 10,Dev5,Por Hacer,Media,27,22
TASK-0011,2024-01-22,App Móvil,Documentación - Tarea 11,Dev1,En Progreso,Baja,21,18
TASK-0012,2024-02-06,Sistema CRM,Bug Fix - Tarea 12,Dev4,Completada,Media,29,27
TASK-0013,2024-01-11,App Móvil,Diseño - Tarea 13,Dev2,Completada,Media,30,21
TASK-0014,2024-01-07,Dashboard Analytics,Testing - Tarea 14,Dev4,Completada,Media,34,39
TASK-0015,2024-02-29,Sistema CRM,Diseño - Tarea 15,Dev2,Completada,Baja,8,7
TASK-0016,2024-02-28,Sistema CRM,Testing - Tarea 16,Dev4,En Progreso,Baja,31,30
TASK-0017,2024-01-05,Sistema CRM,Bug Fix - Tarea 17,Dev4,En Revisión,Alta,15,14
TASK-0018,2024-02-09,Dashboard Analytics,Testing - Tarea 18,Dev4,Por Hacer,Media,33,23
TASK-0019,2024-02-09,Sistema CRM,Bug Fix - Tarea 19,Dev2,Por Hacer,Alta,34,29
TASK-0020,2024-01-28,Dashboard Analytics,Diseño - Tarea 20,Dev2,Completada,Baja,26,23
TASK-0021,2024-02-22,Sistema CRM,Diseño - Tarea 21,Dev4,En Revisión,Media,38,30
TASK-0022,2024-02-06,App Móvil,Documentación - Tarea 22,Dev2,Completada,Crítica,30,32
TASK-0023,2024-03-23,App Móvil,Testing - Tarea 23,Dev4,En Revisión,Baja,24,23
TASK-0024,2024-02-27,Sistema CRM,Bug Fix - Tarea 24,Dev2,En Revisión,Baja,32,41
TASK-0025,2024-01-17,Sistema CRM,Desarrollo - Tarea 25,Dev1,En Progreso,Media,24,16
TASK-0026,2024-01-04,Sistema CRM,Diseño - Tarea 26,Dev2,En Progreso,Alta,36,28
TASK-0027,2024-02-24,Sistema CRM,Documentación - Tarea 27,Dev5,Completada,Media,8,8
TASK-0028,2024-01-03,API REST,Documentación - Tarea 28,Dev4,En Revisión,Media,29,27
TASK-0029,2024-01-01,Dashboard Analytics,Bug Fix - Tarea 29,Dev4,Completada,Media,12,12
TASK-0030,2024-03-24,Dashboard Analytics,Diseño - Tarea 30,Dev1,Por Hacer,Baja,37,37
TASK-0031,2024-03-16,App Móvil,Documentación - Tarea 31,Dev2,En Progreso,Alta,18,15
TASK-0032,2024-02-01,Sistema CRM,Bug Fix - Tarea 32,Dev1,Completada,Media,18,18
TASK-0033,2024-02-29,Sistema CRM,Bug Fix - Tarea 33,Dev5,En Progreso,Crítica,13,10
TASK-0034,2024-01-23,API REST,Bug Fix - Tarea 34,Dev5,En Progreso,Media,28,27
TASK-0035,2024-01-23,App Móvil,Bug Fix - Tarea 35,Dev1,En Revisión,Baja,38,34
TASK-0036,2024-02-28,App Móvil,Documentación - Tarea 36,Dev5,Completada,Baja,9,10
TASK-0037,2024-02-19,Dashboard Analytics,Desarrollo - Tarea 37,Dev3,Por Hacer,Media,15,14
TASK-0038,2024-01-29,API REST,Bug Fix - Tarea 38,Dev4,En Progreso,Media,19,15
TASK-0039,2024-01-11,API REST,Diseño - Tarea 39,Dev1,Completada,Media,4,4
TASK-0040,2024-02-04,Sistema CRM,Bug Fix - Tarea 40,Dev4,Por Hacer,Alta,29,37
TASK-0041,2024-02-27,API REST,Desarrollo - Tarea 41,Dev1,Completada,Crítica,32,33
TASK-0042,2024-01-28,Sistema CRM,Documentación - Tarea 42,Dev1,Completada,Alta,29,29
TASK-0043,2024-03-02,API REST,Bug Fix - Tarea 43,Dev2,Por Hacer,Alta,9,8
TASK-0044,2024-01-07,API REST,Bug Fix - Tarea 44,Dev5,En Progreso,Baja,30,33
TASK-0045,2024-03-23,Sistema CRM,Desarrollo - Tarea 45,Dev3,Completada,Media,11,13
TASK-0046,2024-01-12,API REST,Documentación - Tarea 46,Dev5,En Progreso,Baja,12,12
TASK-0047,2024-01-07,Dashboard Analytics,Testing - Tarea 47,Dev5,Completada,Alta,29,21
TASK-0048,2024-01-10,Dashboard Analytics,Diseño - Tarea 48,Dev5,En Revisión,Alta,20,25
TASK-0049,2024-02-13,Dashboard Analytics,Diseño - Tarea 49,Dev1,Completada,Media,31,25
TASK-0050,2024-01-13,App Móvil,Testing - Tarea 50,Dev3,En Progreso,Media,18,14
TASK-0051,2024-01-31,Sistema CRM,Testing - Tarea 51,Dev5,En Progreso,Media,23,24
TASK-0052,2024-02-02,Sistema CRM,Desarrollo - Tarea 52,Dev1,En Revisión,Media,12,14
TASK-0053,2024-02-03,Sistema CRM,Documentación - Tarea 53,Dev5,Por Hacer,Alta,24,19
TASK-0054,2024-01-06,API REST,Diseño - Tarea 54,Dev4,Por Hacer,Alta,8,8
TASK-0055,2024-01-05,Dashboard Analytics,Bug Fix - Tarea 55,Dev3,Por Hacer,Baja,27,24
