Fecha,Hora,Página,Visitantes,Sesiones,Tiempo_Promedio_Seg,Tasa_Rebote_Porcentaje
2024-01-01,01:16,/precios,94,258,507,27.4
2024-01-01,02:18,/precios,290,266,280,65.2
2024-01-01,05:11,/testimonios,381,171,146,45.2
2024-01-01,05:38,/productos,95,186,45,26.6
2024-01-02,03:37,/contacto,17,344,566,22.1
2024-01-02,04:19,/blog,307,31,553,26.9
2024-01-02,17:20,/productos,440,172,302,44.2
2024-01-02,21:49,/home,109,470,492,44.4
2024-01-03,20:09,/galeria,364,205,469,42.5
2024-01-04,06:15,/nosotros,291,354,577,62.9
2024-01-04,08:00,/blog,371,282,541,21.2
2024-01-04,12:53,/blog,91,27,158,29.6
2024-01-05,08:15,/testimonios,490,388,573,24.4
2024-01-05,10:48,/blog,264,409,346,62.8
2024-01-05,11:20,/productos,380,22,173,71.9
2024-01-05,11:37,/servicios,354,109,560,46.9
2024-01-05,13:16,/galeria,125,277,233,38.3
2024-01-06,07:06,/precios,238,239,265,77.9
2024-01-06,10:17,/galeria,443,255,508,42.0
2024-01-06,17:41,/productos,60,562,548,51.7
2024-01-07,06:06,/faq,206,577,276,79.9
2024-01-07,07:00,/faq,327,467,244,35.5
2024-01-07,12:23,/galeria,357,53,105,62.4
2024-01-07,13:41,/productos,137,579,135,67.2
2024-01-07,15:15,/nosotros,365,364,319,63.2
2024-01-08,02:31,/productos,458,302,95,69.5
2024-01-09,01:01,/servicios,217,405,495,29.2
2024-01-09,06:31,/blog,186,275,98,62.4
2024-01-09,12:18,/faq,385,67,101,57.5
2024-01-09,18:19,/nosotros,103,566,119,56.2
2024-01-09,18:52,/home,90,319,518,44.1
2024-01-09,20:24,/contacto,160,559,342,52.5
2024-01-09,22:43,/nosotros,138,388,74,30.2
2024-01-10,03:30,/productos,150,380,215,25.8
2024-01-10,05:37,/precios,25,446,483,41.0
2024-01-10,06:16,/servicios,123,105,537,54.7
2024-01-10,07:41,/blog,235,488,323,63.5
2024-01-10,16:53,/nosotros,106,388,386,70.1
2024-01-10,19:06,/blog,263,351,576,76.7
2024-01-11,02:54,/nosotros,12,287,145,78.5
2024-01-11,03:14,/testimonios,46,265,476,76.1
2024-01-11,08:49,/precios,35,237,72,39.4
2024-01-11,19:54,/galeria,191,202,572,41.2
2024-01-12,09:15,/nosotros,465,481,523,32.7
2024-01-13,04:18,/home,272,495,116,21.3
2024-01-13,05:27,/servicios,160,328,124,77.2
2024-01-13,22:15,/servicios,380,429,353,34.3
2024-01-13,22:39,/testimonios,146,327,36,47.9
2024-01-14,03:53,/blog,495,537,558,71.7
2024-01-14,06:37,/nosotros,387,472,120,57.4
2024-01-14,07:21,/blog,392,100,302,46.0
2024-01-14,12:33,/blog,193,499,598,77.9
2024-01-14,15:10,/servicios,210,361,75,24.2
2024-01-14,15:51,/nosotros,80,63,474,26.2
2024-01-15,01:16,/contacto,242,94,142,61.2
2024-01-15,09:24,/galeria,76,501,499,55.3
2024-01-15,13:38,/precios,198,23,363,78.2
2024-01-15,15:37,/blog,345,266,326,67.5
2024-01-16,00:59,/faq,149,16,192,71.2
2024-01-16,04:24,/faq,179,265,527,64.5
2024-01-16,19:08,/home,263,593,34,78.6
2024-01-17,21:17,/contacto,422,436,319,61.0
2024-01-18,12:02,/contacto,471,394,497,58.6
2024-01-18,14:52,/home,463,76,295,32.1
2024-01-18,16:14,/servicios,170,423,526,41.1
2024-01-18,19:23,/blog,252,326,385,68.1
2024-01-18,22:41,/faq,373,140,377,64.9
2024-01-19,00:03,/blog,184,430,152,68.4
2024-01-19,06:06,/precios,61,212,74,49.4
2024-01-19,08:26,/contacto,200,171,240,22.5
2024-01-19,18:40,/galeria,102,333,437,75.7
2024-01-20,04:35,/testimonios,37,289,443,41.5
2024-01-20,06:29,/testimonios,407,413,450,41.3
2024-01-20,21:44,/servicios,375,236,471,68.8
2024-01-21,05:22,/productos,412,205,346,60.5
2024-01-21,08:44,/servicios,243,314,234,38.4
2024-01-21,21:40,/testimonios,192,561,62,51.6
2024-01-21,22:08,/productos,428,528,308,45.9
2024-01-22,08:56,/nosotros,430,78,237,38.2
2024-01-22,23:02,/nosotros,339,495,370,38.3
2024-01-23,05:05,/contacto,351,291,501,36.2
2024-01-24,03:04,/testimonios,298,271,85,48.3
2024-01-24,03:16,/home,299,574,321,52.4
2024-01-24,11:47,/nosotros,419,223,276,70.5
2024-01-24,12:35,/faq,465,219,247,44.4
2024-01-24,16:24,/nosotros,481,32,101,22.9
2024-01-24,20:34,/faq,328,511,547,48.0
2024-01-24,21:09,/nosotros,203,294,454,40.0
2024-01-24,22:56,/faq,49,217,207,50.8
2024-01-25,08:20,/testimonios,278,212,507,50.5
2024-01-25,16:08,/home,225,261,89,52.6
2024-01-26,03:12,/blog,80,174,317,37.2
2024-01-26,04:04,/contacto,454,378,444,70.4
2024-01-26,16:13,/nosotros,35,445,334,37.4
2024-01-26,20:48,/productos,471,30,382,54.9
2024-01-27,04:34,/home,54,30,133,57.3
2024-01-27,09:58,/productos,492,444,230,30.2
2024-01-27,19:30,/blog,42,471,240,29.8
2024-01-28,02:46,/faq,84,553,481,28.4
2024-01-28,13:52,/galeria,379,312,552,55.2
2024-01-29,13:53,/faq,484,478,344,24.1
2024-01-29,16:15,/testimonios,370,325,501,40.7
2024-01-29,18:27,/faq,295,417,138,31.1
2024-01-29,19:40,/productos,466,489,433,30.9
2024-01-30,02:18,/servicios,423,149,510,29.7
2024-01-30,02:39,/home,47,232,383,39.5
2024-01-30,05:20,/productos,235,22,360,47.9
2024-01-30,19:40,/contacto,243,559,573,52.5
2024-01-30,23:14,/blog,348,305,58,39.7
2024-02-01,00:57,/blog,294,486,87,28.7
2024-02-02,21:00,/galeria,35,512,562,54.5
2024-02-02,21:42,/home,487,557,181,27.0
2024-02-03,03:26,/nosotros,113,189,242,23.0
2024-02-03,06:23,/nosotros,244,184,495,77.4
2024-02-03,15:10,/testimonios,135,123,313,74.0
2024-02-04,16:18,/home,238,24,341,64.6
2024-02-05,05:02,/home,57,537,159,57.1
2024-02-05,07:01,/home,83,208,512,54.4
2024-02-05,08:53,/home,423,161,349,46.9
2024-02-05,17:51,/contacto,115,170,138,69.4
2024-02-05,18:39,/nosotros,296,91,385,60.8
2024-02-05,23:09,/precios,154,237,561,32.3
2024-02-06,01:47,/blog,461,126,398,37.0
2024-02-06,04:20,/blog,377,70,421,41.4
2024-02-06,08:08,/faq,196,576,31,54.3
2024-02-06,17:01,/blog,112,55,266,53.9
2024-02-06,19:52,/precios,50,429,317,44.8
2024-02-07,01:07,/blog,496,513,217,53.3
2024-02-07,11:21,/productos,408,468,244,36.4
2024-02-08,08:40,/productos,288,495,44,45.4
2024-02-08,12:54,/galeria,265,543,91,25.8
2024-02-08,13:37,/blog,381,65,64,41.0
2024-02-08,13:59,/blog,495,274,216,73.7
2024-02-08,14:53,/faq,493,260,347,74.9
2024-02-08,17:17,/nosotros,242,501,172,47.9
2024-02-08,19:33,/home,210,25,253,26.2
2024-02-09,02:18,/contacto,175,116,541,46.7
2024-02-09,02:38,/servicios,268,555,222,26.3
2024-02-09,05:57,/servicios,422,131,224,63.2
2024-02-09,11:07,/testimonios,491,136,581,40.7
2024-02-10,16:09,/nosotros,113,431,62,71.3
2024-02-10,21:11,/faq,221,462,598,43.7
2024-02-11,01:15,/testimonios,492,223,220,57.8
2024-02-11,01:33,/servicios,443,172,354,20.9
2024-02-11,02:36,/nosotros,147,205,118,72.5
2024-02-11,19:24,/servicios,328,540,423,59.7
2024-02-12,08:52,/testimonios,204,329,282,36.4
2024-02-12,19:07,/contacto,341,59,404,39.7
2024-02-12,19:14,/productos,331,21,566,56.6
2024-02-12,21:01,/home,272,597,81,52.4
2024-02-13,03:36,/faq,179,402,547,51.0
2024-02-13,19:20,/precios,21,276,167,68.4
2024-02-14,22:54,/contacto,412,154,76,58.5
2024-02-14,23:22,/galeria,306,550,264,62.9
2024-02-15,05:23,/servicios,222,229,366,72.4
2024-02-15,07:18,/nosotros,331,390,517,47.8
2024-02-15,11:30,/contacto,284,555,527,72.3
2024-02-15,14:06,/faq,62,493,494,50.7
2024-02-15,16:14,/nosotros,11,497,579,34.1
2024-02-15,20:48,/productos,69,173,586,20.6
2024-02-15,22:39,/nosotros,229,130,483,44.6
2024-02-16,07:08,/galeria,246,368,293,71.3
2024-02-16,19:15,/home,426,243,273,61.8
2024-02-17,09:09,/home,224,48,55,58.6
2024-02-17,11:41,/galeria,294,521,578,24.5
2024-02-17,14:06,/testimonios,108,22,230,40.7
2024-02-17,18:47,/productos,225,236,461,67.5
2024-02-18,01:20,/productos,81,248,499,49.4
2024-02-18,02:59,/galeria,236,374,172,34.0
2024-02-18,14:27,/nosotros,138,354,182,35.9
2024-02-18,15:39,/testimonios,425,20,179,46.8
2024-02-18,21:47,/galeria,261,448,336,33.4
2024-02-18,21:57,/galeria,402,189,507,44.1
2024-02-19,18:36,/servicios,305,380,353,76.2
2024-02-19,19:09,/precios,110,91,275,46.8
2024-02-20,03:00,/testimonios,86,457,324,61.7
2024-02-20,09:50,/productos,189,357,66,23.1
2024-02-20,11:13,/testimonios,133,111,170,65.7
2024-02-20,20:45,/servicios,399,492,290,40.0
2024-02-21,09:27,/testimonios,102,258,181,51.3
2024-02-21,11:50,/blog,328,437,329,55.1
2024-02-21,13:23,/testimonios,171,189,507,48.6
2024-02-22,00:18,/blog,141,506,440,39.1
2024-02-22,12:40,/blog,324,345,106,28.3
2024-02-22,17:33,/contacto,207,285,490,47.3
2024-02-22,17:50,/contacto,265,407,173,72.7
2024-02-23,03:39,/precios,17,315,146,32.6
2024-02-23,07:56,/blog,383,151,389,53.3
2024-02-23,13:06,/contacto,347,540,300,30.0
2024-02-25,05:02,/faq,427,575,270,79.3
2024-02-25,05:13,/nosotros,54,391,252,76.5
2024-02-25,19:12,/contacto,378,35,36,28.5
2024-02-26,03:32,/testimonios,361,473,367,78.6
2024-02-26,21:02,/productos,351,94,543,38.0
2024-02-27,06:51,/faq,90,313,262,64.4
2024-02-27,14:09,/servicios,70,403,528,27.9
2024-02-28,08:53,/faq,340,118,557,52.1
2024-02-28,22:57,/productos,351,201,269,40.5
2024-02-29,10:58,/contacto,391,415,185,78.5
2024-02-29,12:18,/faq,208,221,219,53.5
2024-02-29,13:29,/precios,52,290,423,47.2
2024-03-01,01:05,/faq,467,544,100,73.6
