Región,Fecha,Producto,Ventas,Unidades
Este,2024-09-26,Teclado,6319,31
Centro,2024-10-22,Laptop,9727,31
Este,2024-02-13,Impresora,6288,5
Norte,2024-12-21,Mouse,5074,22
Norte,2024-04-09,Monitor,4078,7
Oeste,2024-06-30,Mouse,4694,27
Oeste,2024-11-05,Monitor,2321,30
Este,2024-11-19,Laptop,3753,2
Sur,2024-01-07,Monitor,4706,19
Oeste,2024-10-21,Mouse,2403,41
Centro,2024-08-03,Monitor,2458,40
Centro,2024-08-05,Monitor,5591,16
Sur,2024-09-16,Laptop,1290,40
Norte,2024-07-29,Impresora,4597,37
Centro,2024-03-19,Impresora,5453,4
Norte,2024-06-04,Teclado,4248,29
Oeste,2024-06-12,Mouse,2732,39
Este,2024-11-08,Teclado,3670,35
Sur,2024-06-05,Teclado,2833,3
Norte,2024-10-12,Impresora,6777,3
Este,2024-08-01,Teclado,1938,12
Norte,2024-05-24,Impresora,5841,17
Norte,2024-06-26,Impresora,6553,24
Sur,2024-10-13,Laptop,1773,24
Oeste,2024-01-15,Laptop,4918,40
Centro,2024-03-09,Monitor,1406,10
Norte,2024-04-14,Monitor,3002,40
Este,2024-07-23,Impresora,8037,39
Oeste,2024-02-28,Monitor,4698,11
Oeste,2024-04-20,Monitor,6977,32
Sur,2024-10-28,Impresora,2381,17
Sur,2024-01-08,Impresora,2542,32
Este,2024-08-15,Mouse,2761,10
Este,2024-11-06,Monitor,6397,26
Centro,2024-08-05,Mouse,6131,5
Oeste,2024-08-16,Laptop,4058,8
Este,2024-11-19,Impresora,9228,28
Sur,2024-12-27,Teclado,3758,25
Sur,2024-10-16,Mouse,4827,6
Oeste,2024-09-26,Laptop,7442,39
Sur,2024-04-13,Mouse,1181,22
Sur,2024-11-23,Mouse,2848,15
Centro,2024-05-21,Laptop,5060,48
Sur,2024-03-08,Mouse,7156,9
Norte,2024-08-08,Laptop,9554,37
Este,2024-10-04,Laptop,7515,45
Norte,2024-02-13,Laptop,8148,27
Sur,2024-08-05,Laptop,2524,7
Sur,2024-07-10,Mouse,3270,38
Este,2024-10-14,Mouse,2308,11
Norte,2024-09-23,Teclado,1466,45
Sur,2024-12-25,Mouse,1863,6
Sur,2024-02-20,Impresora,7574,45
Oeste,2024-03-12,Monitor,5424,13
Centro,2024-03-09,Impresora,1776,48
Norte,2024-01-09,Teclado,7067,19
Sur,2024-07-13,Impresora,6949,23
Norte,2024-04-09,Monitor,8907,20
Sur,2024-03-17,Mouse,4196,32
Este,2024-07-15,Impresora,5734,30
Norte,2024-10-23,Mouse,4983,6
Norte,2024-06-09,Impresora,4773,42
Norte,2024-01-14,Teclado,5493,5
Centro,2024-02-01,Laptop,3986,39
Norte,2024-04-21,Teclado,9125,24
Oeste,2024-12-26,Teclado,3994,37
Este,2024-01-17,Monitor,3870,12
Norte,2024-09-16,Laptop,6326,41
Norte,2024-04-14,Impresora,6510,10
Oeste,2024-02-08,Teclado,8443,23
Sur,2024-07-26,Mouse,8777,35
Este,2024-09-21,Teclado,5358,8
Norte,2024-02-24,Monitor,2250,34
Norte,2024-01-30,Mouse,2305,11
Sur,2024-06-09,Laptop,9600,49
Oeste,2024-08-17,Monitor,2314,26
Centro,2024-11-01,Teclado,2852,46
Centro,2024-06-20,Impresora,4535,41
Sur,2024-12-01,Laptop,4233,34
Norte,2024-04-30,Monitor,4259,12
Sur,2024-06-21,Mouse,5030,28
Oeste,2024-02-19,Teclado,7586,11
Sur,2024-01-15,Monitor,6834,1
Sur,2024-12-04,Mouse,8491,47
Norte,2024-12-24,Monitor,2462,49
Sur,2024-11-14,Monitor,9644,18
Este,2024-01-16,Laptop,7398,5
Este,2024-11-05,Monitor,6978,18
Oeste,2024-05-11,Monitor,1598,39
Este,2024-05-23,Mouse,6723,48
Este,2024-01-09,Teclado,2092,22
Este,2024-08-16,Mouse,1168,6
Sur,2024-08-06,Impresora,1693,40
Centro,2024-02-02,Mouse,1526,41
Oeste,2024-12-14,Mouse,8714,25
Norte,2024-10-13,Laptop,7693,11
Centro,2024-10-08,Mouse,3279,38
Sur,2024-10-15,Mouse,1459,27
Oeste,2024-01-30,Mouse,2412,11
Sur,2024-07-10,Laptop,6279,25
Sur,2024-06-14,Monitor,2143,36
Norte,2024-09-30,Monitor,2716,41
Este,2024-11-29,Monitor,6580,15
Centro,2024-12-06,Impresora,6890,14
Sur,2024-06-08,Laptop,3712,14
Centro,2024-11-24,Monitor,4611,19
Este,2024-05-01,Teclado,7145,33
Sur,2024-07-20,Teclado,4399,37
Este,2024-04-17,Teclado,3883,13
Oeste,2024-11-27,Mouse,2840,30
Oeste,2024-03-04,Monitor,8644,45
Sur,2024-06-22,Impresora,6148,30
Oeste,2024-12-05,Impresora,8847,29
Sur,2024-05-15,Laptop,9937,2
Este,2024-11-10,Impresora,2427,32
Este,2024-09-05,Teclado,9997,33
Centro,2024-06-17,Monitor,4700,32
Este,2024-03-20,Monitor,1161,3
Norte,2024-01-06,Laptop,5148,20
Sur,2024-11-26,Teclado,9239,44
Este,2024-08-13,Teclado,6496,11
Este,2024-10-03,Teclado,4743,4
Oeste,2024-11-28,Teclado,9950,6
Centro,2024-12-02,Impresora,8047,24
Este,2024-11-23,Laptop,5687,12
Centro,2024-03-22,Teclado,7047,2
Oeste,2024-06-22,Teclado,2498,49
Este,2024-06-17,Monitor,6813,42
Sur,2024-03-16,Mouse,3283,29
Sur,2024-03-11,Laptop,7218,18
Oeste,2024-11-20,Monitor,5279,26
Sur,2024-05-25,Mouse,2503,26
Centro,2024-11-14,Monitor,3563,6
Norte,2024-04-05,Laptop,9449,43
Norte,2024-05-01,Monitor,2847,42
Oeste,2024-07-26,Impresora,3074,48
Este,2024-05-11,Mouse,6306,6
Centro,2024-03-12,Laptop,5289,11
Oeste,2024-10-10,Impresora,4154,21
Este,2024-11-22,Laptop,6998,16
Norte,2024-01-14,Laptop,8567,4
Sur,2024-03-05,Teclado,9711,8
Este,2024-05-25,Mouse,8033,1
Norte,2024-06-06,Impresora,1846,17
Este,2024-08-31,Monitor,3868,47
Centro,2024-04-01,Teclado,8026,7
Este,2024-04-17,Teclado,3341,3
Este,2024-10-31,Impresora,4391,18
Centro,2024-08-30,Mouse,7100,48
Norte,2024-03-17,Impresora,7307,24
Este,2024-07-25,Mouse,1772,1
Sur,2024-09-03,Laptop,2059,37
Norte,2024-12-06,Impresora,4248,49
Centro,2024-09-28,Impresora,1749,8
Centro,2024-09-17,Laptop,3526,45
Norte,2024-04-09,Monitor,1869,1
Centro,2024-04-14,Laptop,8339,14
Este,2024-07-01,Mouse,5136,35
Sur,2024-02-22,Mouse,5977,30
Centro,2024-07-14,Mouse,9149,27
Sur,2024-11-28,Impresora,2090,26
Norte,2024-12-29,Laptop,1428,24
Sur,2024-07-05,Monitor,6446,12
Este,2024-06-17,Teclado,4539,22
Este,2024-11-15,Mouse,7700,31
Sur,2024-08-12,Impresora,2972,13
Norte,2024-02-23,Laptop,8674,33
Norte,2024-12-22,Mouse,6061,21
Este,2024-04-19,Monitor,3565,36
Este,2024-12-15,Mouse,9410,36
Centro,2024-05-14,Teclado,4165,16
Este,2024-07-09,Monitor,1063,20
Este,2024-03-07,Impresora,9406,41
Centro,2024-07-13,Mouse,8351,23
Oeste,2024-04-18,Laptop,4250,20
Sur,2024-09-04,Laptop,6688,11
Este,2024-07-13,Mouse,4796,49
Oeste,2024-04-05,Monitor,4746,47
Oeste,2024-04-14,Laptop,5635,14
Este,2024-12-30,Monitor,6207,6
Este,2024-12-23,Teclado,1261,15
Norte,2024-06-29,Laptop,5352,15
Oeste,2024-11-20,Laptop,9857,27
Norte,2024-12-14,Impresora,6361,22
Oeste,2024-07-01,Laptop,2344,3
Centro,2024-06-13,Teclado,2696,12
Sur,2024-08-27,Mouse,6563,38
Oeste,2024-02-02,Mouse,2675,13
Sur,2024-01-06,Monitor,8818,33
Sur,2024-05-13,Laptop,7520,28
Centro,2024-12-13,Impresora,7556,21
